i,t,x,"u(t, x)"
0,0.0,0.0,0.0
1,0.0,0.04081632653061224,0.063938580842253
2,0.0,0.08163265306122448,0.1276144243410426
3,0.0,0.12244897959183673,0.19076587279700669
4,0.0,0.16326530612244897,0.25313342336249645
5,0.0,0.2040816326530612,0.31446079439444075
6,0.0,0.24489795918367346,0.37449597857058936
7,0.0,0.2857142857142857,0.432992278441656
8,0.0,0.32653061224489793,0.48970932016405333
9,0.0,0.36734693877551017,0.5444140412475769
10,0.0,0.4081632653061224,0.5968816482591685
11,0.0,0.44897959183673464,0.6468965405473511
12,0.0,0.4897959183673469,0.6942531961915519
13,0.0,0.5306122448979591,0.7387570165357581
14,0.0,0.5714285714285714,0.7802251258361357
15,0.0,0.6122448979591836,0.8184871227366879
16,0.0,0.6530612244897959,0.8533857804849778
17,0.0,0.6938775510204082,0.8847776930105793
18,0.0,0.7346938775510203,0.9125338642113803
19,0.0,0.7755102040816326,0.9365402380262364
20,0.0,0.8163265306122448,0.956698167115792
21,0.0,0.8571428571428571,0.9729248182255553
22,0.0,0.8979591836734693,0.9851535125655109
23,0.0,0.9387755102040816,0.993333999807569
24,0.0,0.9795918367346939,0.9974326645749431
25,0.0,1.0204081632653061,0.9974326645749431
26,0.0,1.0612244897959182,0.9933339998075691
27,0.0,1.1020408163265305,0.9851535125655109
28,0.0,1.1428571428571428,0.9729248182255554
29,0.0,1.183673469387755,0.9566981671157921
30,0.0,1.2244897959183672,0.9365402380262366
31,0.0,1.2653061224489794,0.9125338642113803
32,0.0,1.3061224489795917,0.8847776930105794
33,0.0,1.346938775510204,0.853385780484978
34,0.0,1.3877551020408163,0.8184871227366881
35,0.0,1.4285714285714284,0.7802251258361359
36,0.0,1.4693877551020407,0.7387570165357583
37,0.0,1.510204081632653,0.6942531961915521
38,0.0,1.5510204081632653,0.6468965405473515
39,0.0,1.5918367346938773,0.5968816482591688
40,0.0,1.6326530612244896,0.5444140412475773
41,0.0,1.673469387755102,0.4897093201640536
42,0.0,1.7142857142857142,0.43299227844165633
43,0.0,1.7551020408163265,0.37449597857058975
44,0.0,1.7959183673469385,0.31446079439444113
45,0.0,1.8367346938775508,0.2531334233624969
46,0.0,1.8775510204081631,0.19076587279700694
47,0.0,1.9183673469387754,0.12761442434104286
48,0.0,1.9591836734693877,0.06393858084225308
49,0.0,2.0,0.0
50,0.002,0.0,0.0
51,0.002,0.04081632653061224,0.0638072121705213
52,0.002,0.08163265306122448,0.12735222681962985
53,0.002,0.12244897959183673,0.19037392385176952
54,0.002,0.16326530612244897,0.2526133335957237
55,0.002,0.2040816326530612,0.3138147009665429
56,0.002,0.24489795918367346,0.37372653641804837
57,0.002,0.2857142857142857,0.43210264936732135
58,0.002,0.32653061224489793,0.48870315984461643
59,0.002,0.36734693877551017,0.5432954842116109
60,0.002,0.4081632653061224,0.5956552908974639
61,0.002,0.44897959183673464,0.6455674222253602
62,0.002,0.4897959183673469,0.6928267785415546
63,0.002,0.5306122448979591,0.7372391610138438
64,0.002,0.5714285714285714,0.7786220696362229
65,0.002,0.6122448979591836,0.8168054531605567
66,0.002,0.6530612244897959,0.8516324078736336
67,0.002,0.6938775510204082,0.882959822348179
68,0.002,0.7346938775510203,0.9106589655184079
69,0.002,0.7755102040816326,0.9346160156635861
70,0.002,0.8163265306122448,0.9547325281258958
71,0.002,0.8571428571428571,0.9709258398406515
72,0.002,0.8979591836734693,0.9831294090165621
73,0.002,0.9387755102040816,0.9912930885702269
74,0.002,0.9795918367346939,0.995383332191256
75,0.002,1.0204081632653061,0.9953833321912562
76,0.002,1.0612244897959182,0.9912930885702269
